Id,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,FlrSF1st,FlrSF2nd,GrLivArea,SalePrice
1,7,5,2003,706,856,854,1710,208500
2,6,8,1976,978,1262,0,1262,181500
3,7,5,2001,486,920,866,1786,223500
4,7,5,1915,216,961,756,1717,140000
5,8,5,2000,655,1145,1053,2198,250000
6,5,5,1993,732,796,566,1362,143000
7,8,5,2004,1369,1694,0,1694,307000
8,7,6,1973,859,1107,983,2090,200000
9,7,5,1931,0,1022,752,1774,129900
10,5,6,1939,851,1077,0,1077,118000
11,5,5,1965,906,1040,0,1040,129500
12,9,5,2005,998,1182,1142,2324,345000
13,5,6,1962,737,912,0,912,144000
14,7,5,2006,0,1494,0,1494,279500
15,6,5,1960,733,1253,0,1253,157000
16,7,8,1929,0,854,0,854,132000
17,6,7,1970,578,1004,0,1004,149000
18,4,5,1967,0,1296,0,1296,90000
19,5,5,2004,646,1114,0,1114,159000
20,5,6,1958,504,1339,0,1339,139000
21,8,5,2005,0,1158,1218,2376,325300
22,7,7,1930,0,1108,0,1108,139400
23,8,5,2002,0,1795,0,1795,230000
24,5,7,1976,840,1060,0,1060,129900
25,5,8,1968,188,1060,0,1060,154000
26,8,5,2007,0,1600,0,1600,256300
27,5,7,1951,234,900,0,900,134800
28,8,5,2007,1218,1704,0,1704,306000
29,5,6,1957,1277,1600,0,1600,207500
30,4,6,1927,0,520,0,520,68500
31,4,4,1920,0,649,668,1317,40000
32,5,6,1966,0,1228,0,1228,149350
33,8,5,2007,0,1234,0,1234,179900
34,5,5,1959,1018,1700,0,1700,165500
35,9,5,2005,1153,1561,0,1561,277500
36,8,5,2004,0,1132,1320,2452,309000
37,5,5,1994,0,1097,0,1097,145000
38,5,6,1954,1213,1297,0,1297,153000
39,5,7,1953,731,1057,0,1057,109000
40,4,5,1955,0,1152,0,1152,82000
41,6,5,1965,643,1324,0,1324,160000
42,5,6,1959,967,1328,0,1328,170000
43,5,7,1983,747,884,0,884,144000
44,5,6,1975,280,938,0,938,130250
45,5,6,1959,179,1150,0,1150,141000
46,9,5,2005,456,1752,0,1752,319900
47,7,5,2003,1351,1518,631,2149,239686
48,8,5,2006,24,1656,0,1656,249700
49,4,5,1920,0,736,716,1452,113000
50,5,7,1966,763,955,0,955,127000
51,6,6,1997,182,794,676,1470,177000
52,6,6,1934,0,816,0,1176,114500
53,5,5,1963,104,816,0,816,110000
54,9,5,1981,1810,1842,0,1842,385000
55,5,5,1955,384,1360,0,1360,130000
56,6,5,1964,490,1425,0,1425,180500
57,8,5,1999,649,983,756,1739,172500
58,7,5,2004,0,860,860,1720,196500
59,10,5,2006,0,1426,1519,2945,438780
60,5,7,1972,632,780,0,780,124900
61,6,5,2004,941,1158,0,1158,158000
62,5,7,1920,0,581,530,1111,101000
63,8,5,2006,24,1370,0,1370,202500
64,7,6,1921,0,902,808,1710,140000
65,7,5,1997,739,1057,977,2034,219500
66,8,5,2004,0,1143,1330,2473,317000
67,7,5,1970,912,2207,0,2207,180000
68,7,5,2003,1013,1479,0,1479,226000
69,4,6,1945,0,747,0,747,80000
70,7,4,1953,603,1304,983,2287,225000
71,7,6,1973,1880,2223,0,2223,244000
72,4,6,1982,565,845,0,845,129500
73,7,5,1998,0,885,833,1718,185000
74,5,7,1954,320,1086,0,1086,144900
75,3,6,1915,0,840,765,1605,107400
76,4,5,1973,462,526,462,988,91000
77,4,7,1956,228,952,0,952,135750
78,5,5,1948,336,1072,213,1285,127000
79,4,5,1968,0,1768,0,1768,136500
80,5,6,1910,0,682,548,1230,110000
81,6,6,1968,448,1182,960,2142,193500
82,6,5,1998,1201,1337,0,1337,153500
83,8,5,2007,33,1563,0,1563,245000
84,5,5,1960,0,1065,0,1065,126500
85,7,5,1995,0,804,670,1474,168500
86,8,5,1991,0,1301,1116,2417,260000
87,6,5,2005,0,684,876,1560,174000
88,6,5,2009,0,612,612,1224,164500
89,3,2,1915,0,1013,0,1526,85000
90,4,5,1994,588,990,0,990,123600
91,4,5,1950,0,1040,0,1040,109900
92,5,3,1961,600,1235,0,1235,98600
93,5,7,1921,713,964,0,964,163500
94,6,6,1910,1046,1260,1031,2291,133900
95,6,5,1997,648,905,881,1786,204750
96,6,8,1993,310,680,790,1470,185000
97,7,5,1999,1162,1588,0,1588,214000
98,4,5,1965,520,960,0,960,94750
99,5,5,1920,108,835,0,835,83000
100,4,5,1959,569,1225,0,1225,128950
101,6,7,1977,1200,1610,0,1610,205000
102,6,5,1985,0,977,755,1732,178000
103,5,5,1979,0,1535,0,1535,118964
104,7,5,2009,0,1226,0,1226,198900
105,7,4,1931,224,1226,592,1818,169500
106,8,5,2003,0,1053,939,1992,250000
107,4,7,1885,0,1047,0,1047,100000
108,5,5,1948,104,789,0,789,115000
109,5,7,1919,0,997,520,1517,115000
110,6,6,1977,705,1844,0,1844,190000
111,6,4,1954,444,1216,639,1855,136900
112,7,5,2000,250,774,656,1430,180000
113,7,5,2007,984,1282,1414,2696,383970
114,6,5,1953,35,2259,0,2259,217000
115,6,8,1945,774,1436,884,2320,259500
116,6,5,1999,419,729,729,1458,176000
117,5,5,1962,170,1092,0,1092,139000
118,5,5,2006,0,1125,0,1125,155000
119,7,5,1990,1470,1699,1523,3222,320000
120,6,5,2005,0,728,728,1456,163990
121,6,5,1969,938,988,0,988,180000
122,4,5,1939,0,772,351,1123,100000
123,6,7,1958,570,1080,0,1080,136000
124,6,5,1993,300,1199,0,1199,153900
125,6,5,1979,0,1586,0,1586,181000
126,6,8,1935,490,520,0,754,84500
127,6,5,1976,120,958,0,958,128000
128,5,7,1930,116,840,0,840,87000
129,6,5,1966,512,660,688,1348,155000
130,5,7,1958,567,1053,0,1053,150000
131,7,6,1966,445,1216,941,2157,226000
132,6,5,2000,695,1022,1032,2054,244000
133,5,6,1959,405,1327,0,1327,150750
134,8,5,2001,1005,1296,0,1296,220000
135,5,6,1968,570,1721,0,1721,180000
136,7,6,1970,0,1682,0,1682,174000
137,5,5,1967,695,1214,0,1214,143000
138,7,5,1988,0,1959,0,1959,171000
139,8,5,1999,668,1004,848,1852,230000
140,6,5,1997,821,928,836,1764,231500
141,4,5,1971,432,864,0,864,115000
142,7,5,2005,1300,1734,0,1734,260000
143,5,4,1952,507,910,475,1385,166000
144,7,5,1999,679,1501,0,1501,204000
145,5,5,1963,1332,1728,0,1728,125000
146,6,5,2004,0,970,739,1709,130000
147,5,7,1931,209,875,0,875,105000
148,7,5,2001,0,884,1151,2035,222500
149,7,5,2004,680,1080,0,1080,141000
150,5,4,1936,0,896,448,1344,115000
151,5,6,1975,716,969,0,969,122000
152,8,5,2007,1400,1710,0,1710,372402
153,6,5,1971,416,1097,896,1993,190000
154,6,7,1960,429,1252,0,1252,235000
155,6,5,1923,0,1200,0,1200,125000
156,6,5,1924,0,572,524,1096,79000
157,5,7,1950,0,1040,0,1040,109500
158,8,5,2009,0,774,1194,1968,269500
159,7,5,2004,222,991,956,1947,254900
160,7,5,2005,57,1392,1070,2462,320000
161,6,6,1984,660,1232,0,1232,162500
162,9,5,2003,1016,1572,1096,2668,412500
163,7,5,2005,1201,1541,0,1541,220000
164,4,6,1956,0,882,0,882,103200
165,6,7,1926,370,1149,467,1616,152000
166,5,7,1940,351,808,547,1355,127500
167,5,5,1955,379,1867,0,1867,190000
168,8,5,2007,1288,1610,551,2161,325624
169,7,5,2004,0,840,880,1720,183500
170,8,6,1981,0,1707,0,1707,228000
171,5,6,1941,360,854,0,1382,128500
172,6,5,1960,639,1656,0,1656,215000
173,7,7,1987,495,1064,703,1767,239000
174,6,5,1961,288,1362,0,1362,163000
175,6,5,1986,1398,1651,0,1651,184000
176,6,7,1950,477,2158,0,2158,243000
177,6,5,1988,831,1164,896,2060,211000
178,5,5,1958,57,1252,668,1920,172500
179,9,5,2008,1904,2234,0,2234,501837
180,5,6,1923,0,968,0,968,100000
181,6,5,2000,436,769,756,1525,177000
182,7,6,1920,352,901,901,1802,200100
183,5,6,1957,0,1340,0,1340,120000
184,7,5,2003,0,1362,720,2082,200000
185,5,8,1908,0,936,316,1252,127000
186,10,9,1892,0,1518,1518,3608,475000
187,7,5,1990,611,1217,0,1217,173000
188,5,7,1916,0,808,704,1656,135000
189,5,5,1979,1086,1224,0,1224,153337
190,8,5,2001,1153,1593,0,1593,286000
191,8,8,1932,297,1549,1178,2727,315000
192,7,9,1972,626,725,754,1479,184000
193,7,5,1999,560,1431,0,1431,192000
194,7,5,2004,0,970,739,1709,130000
195,5,7,1972,390,864,0,864,127000
196,6,6,1976,566,855,601,1456,148500
197,7,5,2007,1126,1726,0,1726,311872
198,8,4,1918,1036,1360,1360,3112,235000
199,6,6,1912,0,929,929,2229,104000
200,8,5,2004,1088,1713,0,1713,274900
201,4,5,2003,0,1121,0,1121,140000
202,6,6,1977,641,1279,0,1279,171500
203,6,6,1924,617,865,445,1310,112000
204,6,5,2004,662,848,0,848,149000
205,5,7,1947,312,720,564,1284,110000
206,7,5,1990,0,1442,0,1442,180500
207,5,5,1962,0,1696,0,1696,143900
208,4,5,1960,419,1100,0,1100,141000
209,7,5,1988,1065,1180,882,2062,277000
210,6,7,1964,787,1092,0,1092,145000
211,5,6,1925,468,864,0,864,98000
212,6,5,2009,36,1212,0,1212,186000
213,7,5,2009,822,932,920,1852,252678
214,5,5,1995,716,990,0,990,156000
215,6,7,1977,378,689,703,1392,161750
216,5,6,1957,360,1236,0,1236,134450
217,7,5,2004,946,1436,0,1436,210000
218,4,4,1925,0,810,518,1328,107000
219,7,9,1939,341,1137,817,1954,311500
220,7,5,2005,16,1248,0,1248,167240
221,7,5,2006,0,1498,0,1498,204900
222,6,5,2002,0,1010,1257,2267,200000
223,6,6,1975,550,811,741,1552,179900
224,4,6,1971,524,864,0,864,97000
225,10,5,2003,56,2392,0,2392,386250
226,5,5,1971,0,630,672,1302,112000
227,7,5,1995,565,1214,1306,2520,290000
228,6,6,1970,321,483,504,987,106000
229,5,5,1967,842,912,0,912,125000
230,7,5,2005,16,1555,0,1555,192500
231,6,6,1959,0,1194,0,1194,148000
232,8,5,1995,689,1490,1304,2794,403000
233,6,5,1972,0,483,504,987,94500
234,5,6,1976,182,894,0,894,128200
235,6,5,2002,625,860,1100,1960,216500
236,6,3,1971,358,483,504,987,89500
237,7,5,2004,24,1414,0,1414,185500
238,7,7,1993,402,1014,730,1744,194500
239,8,5,2007,0,1694,0,1694,318000
240,6,4,1945,94,798,689,1487,113000
241,8,5,2008,1078,1566,0,1566,262500
242,5,9,1945,329,866,0,866,110500
243,5,4,1900,0,889,551,1440,79000
244,6,6,1980,0,626,591,1217,120000
245,7,5,1994,695,1222,888,2110,205000
246,7,5,1988,929,1872,0,1872,241500
247,6,8,1910,0,908,1020,1928,137000
248,6,5,1954,0,1375,0,1375,140000
249,7,5,2003,0,840,828,1668,180000
250,6,7,1958,697,1444,700,2144,277000
251,3,2,1940,0,1306,0,1306,76500
252,8,5,2006,1573,1625,0,1625,235000
253,6,5,2004,0,798,842,1640,173000
254,6,7,1964,270,1302,0,1302,158000
255,5,6,1957,922,1314,0,1314,145000
256,7,5,1999,0,1005,1286,2291,230000
257,6,5,2003,503,864,864,1728,207500
258,7,5,2006,1334,1604,0,1604,220000
259,7,5,2001,361,963,829,1792,231500
260,5,5,1956,0,882,0,882,97000
261,6,5,1962,672,1382,0,1382,176000
262,8,5,2007,0,1482,1092,2574,276000
263,6,7,1977,506,1212,0,1212,151000
264,5,7,1929,234,926,0,1316,130000
265,5,5,1925,0,764,0,764,73000
266,6,6,1981,588,1422,0,1422,175500
267,6,5,1997,714,802,709,1511,185000
268,5,8,1939,378,1052,720,2192,179500
269,5,6,1940,403,778,0,778,120500
270,6,7,1976,751,1113,0,1113,148000
271,8,5,2006,0,1095,844,1939,266000
272,7,7,1954,226,1363,0,1363,241500
273,8,7,1999,524,1164,1106,2270,290000
274,6,6,1958,620,1632,0,1632,139000
275,5,7,1982,546,816,0,816,124500
276,7,7,1925,0,952,596,1548,205000
277,7,5,2003,0,1560,0,1560,201000
278,4,5,1951,120,864,0,864,141000
279,9,5,2006,0,2121,0,2121,415298
280,7,5,1977,392,1156,866,2022,192000
281,7,6,1989,421,1175,807,1982,228500
282,6,5,2006,905,1262,0,1262,185000
283,7,5,2007,904,1314,0,1314,207500
284,8,5,2008,0,1468,0,1468,244600
285,6,5,1992,430,1575,0,1575,179200
286,7,5,2006,0,625,625,1250,164700
287,6,7,1962,600,1085,649,1734,159000
288,4,4,1971,614,858,0,858,88000
289,5,5,1967,450,900,0,900,122000
290,6,7,1915,0,698,698,1396,153575
291,8,5,2006,0,1079,840,1919,233230
292,5,6,1912,210,936,780,1716,135900
293,5,4,1949,292,1148,568,1716,131000
294,7,7,1977,795,1468,795,2263,235000
295,6,5,1953,1285,1644,0,1644,167000
296,6,6,1984,819,1003,0,1003,142500
297,5,5,1950,420,910,648,1558,152000
298,7,5,1997,649,975,975,1950,239000
299,6,6,1968,384,1041,702,1743,175000
300,6,8,1950,0,1152,0,1152,158500
301,5,5,1953,841,1336,0,1336,157000
302,8,5,1998,281,1210,1242,2452,267000
303,7,5,2001,0,1541,0,1541,205000
304,5,7,1972,894,894,0,894,149900
305,7,9,1880,0,1675,1818,3493,295000
306,8,5,2004,1464,2000,0,2000,305900
307,7,5,1990,700,1122,1121,2243,225000
308,6,7,1920,0,1035,371,1406,89500
309,4,5,1940,262,861,0,861,82500
310,9,5,2003,1274,1944,0,1944,360000
311,6,5,1993,518,697,804,1501,165600
312,6,6,1948,680,972,0,972,132000
313,5,7,1939,507,793,325,1118,119900
314,7,5,1965,1236,2036,0,2036,375000
315,7,7,1925,16,832,809,1641,178000
316,7,5,2004,425,716,716,1432,188500
317,7,7,1980,692,1153,1200,2353,260000
318,8,5,2006,0,1088,871,1959,270000
319,7,5,1993,987,1372,1274,2646,260000
320,7,5,1980,1036,1472,0,1472,187500
321,9,5,2006,0,1249,1347,2596,342643
322,8,5,2004,970,1136,1332,2468,354000
323,7,5,1986,28,1553,1177,2730,301000
324,3,8,1955,256,1163,0,1163,126175
325,7,7,1967,0,1898,1080,2978,242000
326,5,6,1941,116,803,0,803,87000
327,8,5,1993,1619,1719,0,1719,324000
328,6,5,1960,565,1383,0,1383,145250
329,6,6,1916,0,1445,689,2134,214500
330,5,5,1920,0,596,596,1192,78000
331,5,4,1964,40,1728,0,1728,119000
332,5,6,1958,846,1056,0,1056,139000
333,8,5,2003,1124,1629,0,1629,284000
334,7,5,2004,720,1358,0,1358,207000
335,6,5,1998,828,943,695,1638,192000
336,5,6,1965,1249,1619,167,1786,228950
337,9,5,2005,1249,1922,0,1922,377426
338,7,5,2002,810,1536,0,1536,214000
339,7,7,1984,213,1621,0,1621,202500
340,6,7,1958,585,1215,0,1215,155000
341,8,5,2002,0,993,915,1908,202900
342,4,4,1950,0,841,0,841,82000
343,3,4,1949,0,1040,0,1040,87500
344,9,5,2005,28,1684,0,1684,266000
345,5,3,1976,129,536,576,1112,85000
346,6,5,1939,0,972,605,1577,140200
347,6,8,1960,498,958,0,958,151500
348,6,5,1960,1270,1478,0,1478,157500
349,7,5,2003,573,764,862,1626,154000
350,9,5,2005,1410,1848,880,2728,437154
351,9,5,2007,0,1869,0,1869,318061
352,7,5,1986,1082,1453,0,1453,190000
353,5,6,1941,236,616,495,1111,95000
354,6,8,1928,0,720,0,720,105900
355,6,5,1940,388,1192,403,1595,140000
356,6,5,1995,334,1200,0,1200,177500
357,6,6,1992,560,1167,0,1167,173000
358,5,5,1976,874,1142,0,1142,134000
359,5,4,1958,300,1352,0,1352,130000
360,8,5,1998,956,1086,838,1924,280000
361,6,6,1978,773,912,0,912,156000
362,5,5,1940,399,988,517,1505,145000
363,7,5,2003,0,495,1427,1922,198500
364,6,8,1972,162,483,504,987,118000
365,6,5,1976,712,790,784,1574,190000
366,5,7,1920,456,672,672,1344,147000
367,6,5,1963,609,1394,0,1394,159000
368,6,5,1962,371,1431,0,1431,165000
369,5,6,1954,540,1268,0,1268,132000
370,5,7,1959,72,1287,0,1287,162000
371,6,5,2000,0,953,711,1664,172400
372,4,4,1959,0,1120,468,1588,134432
373,6,5,1984,623,752,0,752,125000
374,5,6,1953,428,1319,0,1319,123000
375,7,5,2003,0,847,1081,1928,219500
376,1,1,1922,350,904,0,904,61000
377,5,5,1996,298,914,0,914,148000
378,8,5,2004,0,1580,886,2466,340000
379,9,2,2010,1445,1856,0,1856,394432
380,6,5,2000,0,1007,793,1800,179000
381,5,6,1924,218,1026,665,1691,127000
382,7,5,2006,0,1301,0,1301,187750
383,7,5,2006,0,939,858,1797,213500
384,6,3,1928,0,784,0,784,76000
385,6,5,1992,985,1079,874,1953,240000
386,8,5,2004,24,1269,0,1269,192000
387,5,3,1910,0,658,526,1184,81000
388,6,6,1976,631,1125,0,1125,125000
389,7,5,1999,0,1479,0,1479,191000
390,10,5,2007,1280,1742,590,2332,426000
391,5,8,1900,241,961,406,1367,119000
392,6,5,2001,690,804,1157,1961,215000
393,5,7,1959,0,882,0,882,106500
394,4,5,1941,266,788,0,788,100000
395,5,6,1940,0,735,299,1034,109000
396,5,6,1956,739,1144,0,1144,129000
397,5,5,1972,777,894,0,894,123000
398,5,5,1962,540,876,936,1812,169500
399,5,2,1920,0,1077,0,1077,67000
400,7,5,2006,812,1112,438,1550,241000
401,8,5,1996,786,1288,0,1288,245500
402,7,5,2005,24,1310,0,1310,164990
403,5,8,1940,0,672,0,672,108000
404,8,5,1998,0,1165,1098,2263,258000
405,6,5,1995,0,806,766,1572,168000
406,4,4,1976,1116,1620,0,1620,150000
407,6,5,1936,0,1166,0,1639,115000
408,6,7,1915,0,840,840,1680,177000
409,7,5,2006,0,1071,1101,2172,280000
410,8,5,2007,789,1050,1028,2078,339750
411,5,3,1958,0,1276,0,1276,60000
412,5,5,1955,1056,1056,0,1056,145000
413,7,5,2009,578,1478,0,1478,222000
414,5,6,1927,0,1028,0,1028,115000
415,7,5,1993,50,1080,1017,2097,228000
416,7,5,2007,24,1340,0,1340,181134
417,6,7,1978,209,672,728,1400,149500
418,6,6,1918,1128,1370,1254,2624,239000
419,5,6,1940,312,756,378,1134,126000
420,5,6,1968,775,1056,0,1056,142000
421,7,5,1997,1309,1344,0,1344,206300
422,6,7,1977,1246,1602,0,1602,215000
423,5,5,1954,0,988,0,988,113000
424,8,5,1998,986,1470,1160,2630,315000
425,6,5,1956,616,1196,0,1196,139000
426,7,8,1946,0,707,682,1389,135000
427,7,5,1989,1518,1644,0,1644,275000
428,4,6,1957,288,907,0,907,109008
429,7,5,2007,664,1208,0,1208,195400
430,6,5,1988,1005,1412,0,1412,175000
431,6,5,1971,387,483,504,987,85400
432,6,7,1920,0,1088,110,1198,79900
433,5,5,1971,471,765,600,1365,122500
434,6,5,1997,0,926,678,1604,181000
435,4,7,1972,495,630,0,630,81000
436,7,6,1996,385,827,834,1661,212000
437,6,8,1920,0,734,384,1118,116000
438,6,7,1926,0,904,0,904,119000
439,5,6,1913,365,694,0,694,90350
440,6,8,1920,0,684,512,1196,110000
441,10,5,2008,1767,2402,0,2402,555000
442,4,4,1955,133,1440,0,1440,118000
443,5,7,1930,0,1128,445,1573,162900
444,7,5,2006,0,1258,0,1258,172500
445,7,5,1994,642,933,975,1908,210000
446,6,5,1956,0,1689,0,1689,127500
447,6,6,1966,247,1888,0,1888,190000
448,7,5,1998,0,956,930,1886,199900
449,6,6,1937,0,780,596,1376,119500
450,3,7,1948,331,679,504,1183,120000
451,6,8,1930,0,813,0,813,110000
452,7,5,1975,655,1533,0,1533,280000
453,6,5,1996,742,888,868,1756,204000
454,8,5,2008,0,786,804,1590,210000
455,5,5,1976,1606,1728,0,1728,188000
456,7,6,1973,916,1242,0,1242,175500
457,5,5,1916,0,624,720,1344,98000
458,4,6,1954,1116,1663,0,1663,256000
459,8,7,1925,0,833,833,1666,161000
460,5,4,1950,185,979,224,1203,110000
461,8,5,2009,544,832,1103,1935,263435
462,7,9,1936,350,575,560,1135,155000
463,5,5,1965,553,864,0,864,62383
464,6,7,1934,326,849,811,1660,188700
465,5,5,1978,616,1040,0,1040,124000
466,7,5,2004,0,1414,0,1414,178740
467,7,5,1970,778,1277,0,1277,167000
468,5,7,1942,386,888,756,1644,146500
469,8,5,2006,0,1634,0,1634,250000
470,6,5,1993,426,832,878,1710,187000
471,8,5,1985,368,1502,0,1502,212000
472,7,6,1977,0,1161,808,1969,190000
473,6,5,2005,459,1072,0,1072,148000
474,8,5,2006,1350,1976,0,1976,440000
475,8,5,2000,1196,1652,0,1652,251000
476,5,6,1963,630,970,0,970,132500
477,6,5,1997,994,1493,0,1493,208900
478,9,5,2006,0,2069,574,2643,380000
479,8,5,2007,1288,1718,0,1718,297000
480,4,7,1937,168,1131,0,1131,89471
481,9,5,2004,1261,1850,0,1850,326000
482,9,5,2003,1567,1792,0,1792,374000
483,7,8,1915,299,916,910,1826,155000
484,6,5,1998,897,1216,0,1216,164000
485,5,7,1962,588,999,0,999,132500
486,5,7,1950,607,1113,0,1113,147000
487,5,7,1965,836,1073,0,1073,156000
488,5,6,1971,998,1484,0,1484,175000
489,5,4,1900,664,1766,648,2414,160000
490,4,8,1970,515,630,0,630,86000
